2020-10-06 11:24:04,584 DEBUG [background-preinit] logging: Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2020-10-06 11:24:04,589 INFO  [restartedMain] EhrmsApplication: Starting EhrmsApplication on DESKTOP-DU2IB2H with PID 672 (D:\Software\EHRMS\target\classes started by GAD-DEV-05 in D:\Software\EHRMS)
2020-10-06 11:24:04,589 DEBUG [restartedMain] EhrmsApplication: Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
2020-10-06 11:24:04,590 INFO  [restartedMain] EhrmsApplication: No active profile set, falling back to default profiles: default
2020-10-06 11:24:04,916 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:05,469 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:05,762 DEBUG [restartedMain] security: X509Certificate: Alg:SHA1withDSA, Serial:10, Subject:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Sun Microsystems Inc, L=Palo Alto, ST=CA, C=US, Issuer:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Sun Microsystems Inc, L=Palo Alto, ST=CA, C=US, Key type:DSA, Length:1024, Cert Id:1776909028, Valid from:25/04/01, 12:30 pm, Valid until:25/04/20, 12:30 pm
2020-10-06 11:24:05,764 DEBUG [restartedMain] security: X509Certificate: Alg:SHA1withDSA, Serial:47f, Subject:CN=Legion of the Bouncy Castle Inc., OU=Java Software Code Signing, O=Sun Microsystems Inc, Issuer:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Sun Microsystems Inc, L=Palo Alto, ST=CA, C=US, Key type:DSA, Length:1024, Cert Id:-2023852845, Valid from:11/03/17, 6:45 am, Valid until:25/04/20, 12:30 pm
2020-10-06 11:24:05,789 DEBUG [restartedMain] security: X509Certificate: Alg:SHA1withDSA, Serial:293, Subject:CN=The Legion of the Bouncy Castle, OU=Java Software Code Signing, O=Sun Microsystems Inc, Issuer:CN=JCE Code Signing CA, OU=Java Software Code Signing, O=Sun Microsystems Inc, L=Palo Alto, ST=CA, C=US, Key type:DSA, Length:1024, Cert Id:1165917386, Valid from:15/03/08, 2:28 am, Valid until:19/03/13, 2:28 am
2020-10-06 11:24:05,971 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:05,982 DEBUG [restartedMain] InternalLoggerFactory: Using SLF4J as the default logging framework
2020-10-06 11:24:06,155 WARN  [restartedMain] JpaBaseConfiguration$JpaWebConfiguration: spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-10-06 11:24:06,474 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:07,029 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:07,173 DEBUG [scheduling-1] ContextFactory: Property com.sun.xml.bind.XmlAccessorFactoryis not active.  Using JAXB's implementation
2020-10-06 11:24:07,532 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:08,084 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:08,636 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:09,138 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:09,641 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:10,198 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:10,423 INFO  [restartedMain] EhrmsApplication: Started EhrmsApplication in 6.175 seconds (JVM running for 7.031)
2020-10-06 11:24:10,751 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1, name=org.springframework.boot:type=Admin,name=SpringApplication, attribute=Ready
2020-10-06 11:24:10,766 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  3 unwrapping params with MBean extended ClassLoader.
2020-10-06 11:24:10,766 DEBUG [RMI TCP Connection(6)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  2 unwrapping params with MBean extended ClassLoader.
2020-10-06 11:24:10,767 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  3, name=org.springframework.boot:type=Admin,name=SpringApplication, operationName=getProperty, signature=[java.lang.String]
2020-10-06 11:24:10,767 DEBUG [RMI TCP Connection(6)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  2, name=org.springframework.boot:type=Admin,name=SpringApplication, operationName=getProperty, signature=[java.lang.String]
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(8)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  5 unwrapping params with MBean extended ClassLoader.
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(7)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  4 unwrapping params with MBean extended ClassLoader.
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(8)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  5, name=org.springframework.boot:type=Admin,name=SpringApplication, operationName=getProperty, signature=[java.lang.String]
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(7)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  4, name=org.springframework.boot:type=Admin,name=SpringApplication, operationName=getProperty, signature=[java.lang.String]
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@35812f66: connectionId=rmi://127.0.0.1  2] closing.
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(7)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@21432940: connectionId=rmi://127.0.0.1  4] closing.
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(6)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@400930b0: connectionId=rmi://127.0.0.1  3] closing.
2020-10-06 11:24:10,768 DEBUG [RMI TCP Connection(8)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@2f5f3909: connectionId=rmi://127.0.0.1  5] closing.
2020-10-06 11:24:10,769 DEBUG [RMI TCP Connection(6)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@400930b0: connectionId=rmi://127.0.0.1  3] closed.
2020-10-06 11:24:10,769 DEBUG [RMI TCP Connection(8)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@2f5f3909: connectionId=rmi://127.0.0.1  5] closed.
2020-10-06 11:24:10,769 DEBUG [RMI TCP Connection(2)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@35812f66: connectionId=rmi://127.0.0.1  2] closed.
2020-10-06 11:24:10,769 DEBUG [RMI TCP Connection(7)-127.0.0.1] rmi: [javax.management.remote.rmi.RMIConnectionImpl@21432940: connectionId=rmi://127.0.0.1  4] closed.
2020-10-06 11:25:04,362 DEBUG [RMI TCP Connection(9)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:26:04,367 DEBUG [RMI TCP Connection(10)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:27:04,374 DEBUG [RMI TCP Connection(11)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:28:04,382 DEBUG [RMI TCP Connection(12)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:29:04,389 DEBUG [RMI TCP Connection(13)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:30:04,396 DEBUG [RMI TCP Connection(14)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:31:04,402 DEBUG [RMI TCP Connection(15)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:32:04,405 DEBUG [RMI TCP Connection(16)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
2020-10-06 11:33:04,415 DEBUG [RMI TCP Connection(17)-127.0.0.1] rmi: connectionId=rmi://127.0.0.1  1
